name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238,16,44400,81400,56,3,West
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350,14,51600,89800,88,5,South
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,14,46000,83600,57,26,South
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,20,39800,71500,61,16,South
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,3,50300,90000,67,6,West
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025,1,81000,144800,82,2,Northeast
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260,18,49700,85900,62,2,Northeast
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155,7,52100,99300,44,23,North Central
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752,10,40900,69500,67,19,South
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252,5,51600,91300,NA,0,North Central
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256,15,48400,89900,52,15,North Central
Amberton University,Texas,TX,Private,4 Year,NA,12840,12840,12840,12840,24,52800,93600,57,0,South
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166,10,63800,116500,45,32,Northeast
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,24,35700,65900,NA,0,South
Anderson University,South Carolina,SC,Private,4 Year,9830,28000,37830,28000,37830,22,39900,70100,51,5,South
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366,21,47600,85000,51,7,North Central
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325,15,46600,82700,47,9,South
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,5,42600,76600,NA,7,West
Arizona State University,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984,3,54500,100900,52,30,West
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458,6,44600,81400,52,7,South
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,13,45000,76900,54,7,South
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251,16,46600,81500,60,10,South
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358,20,39400,70800,59,4,South
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,15,45000,78800,51,9,South
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,1,54400,104500,51,31,South
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,13,45000,79600,61,12,South
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080,12,50500,91000,52,11,North Central
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,13,47000,84400,69,10,South
Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266,3,47900,88400,54,18,North Central
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167,20,44200,78200,63,10,South
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100,17,45900,81200,68,3,North Central
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416,4,72000,133800,37,0,Northeast
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240,10,47800,84200,55,2,North Central
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702,22,45600,83700,48,7,North Central
Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257,19,59200,109800,57,19,Northeast
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950,24,47400,84400,66,12,South
Barton College,North Carolina,NC,Private,4 Year,10120,30880,41000,30880,41000,24,42400,77900,62,6,South
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756,22,48400,86300,NA,0,West
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018,3,59500,111900,50,23,Northeast
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322,12,55500,101400,49,16,South
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800,7,41200,74300,60,2,South
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450,3,49000,90700,54,11,South
Bellevue College,Washington,WA,Public,2 Year,NA,4258,4258,9689,9689,18,50100,88500,56,14,West
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120,10,49400,84800,57,23,North Central
Bellin College,Wisconsin,WI,Private,4 Year,NA,22178,22178,22178,22178,6,55800,97600,94,0,North Central
Belmont Abbey College,North Carolina,NC,Private,4 Year,10355,18500,28855,18500,28855,14,46700,82900,49,7,South
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430,17,47300,80900,47,3,South
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870,17,47400,85700,59,24,North Central
Benedict College,South Carolina,SC,Private,4 Year,6200,16600,22800,16600,22800,24,38100,67500,61,19,South
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830,3,48700,91800,69,13,North Central
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970,6,48800,90000,50,5,Northeast
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200,9,66600,116600,36,7,Northeast
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754,19,39500,71600,53,27,South
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326,12,44900,84900,44,21,South
Bethany College,Kansas,KS,Private,4 Year,10605,28475,39080,28475,39080,23,39100,73200,61,17,North Central
Bethany College,West Virginia,WV,Private,4 Year,10580,29773,40353,29773,40353,6,46000,84900,63,5,South
Bethel College,Kansas,KS,Private,4 Year,8850,28780,37630,28780,37630,22,42700,73800,54,12,North Central
Bethel University,Minnesota,MN,Private,4 Year,10520,37300,47820,37300,47820,21,51000,85700,65,9,North Central
Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756,10,40400,72600,51,11,North Central
Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500,23,48400,89100,55,17,Northeast
Bluefield State College,West Virginia,WV,Public,4 Year,NA,8820,8820,16920,16920,15,43200,72800,60,3,South
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468,4,50100,86400,55,14,West
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942,11,63600,115400,43,13,Northeast
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668,13,61400,113600,43,25,Northeast
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620,2,61300,112000,54,37,Northeast
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777,18,50300,89900,65,11,South
Bowling Green State University,Ohio,OH,Public,4 Year,9168,11105,20273,19093,28261,25,47200,87500,45,11,North Central
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380,6,55600,104900,46,38,North Central
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835,14,60600,113200,48,29,Northeast
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600,10,44300,81200,53,7,South
Brigham Young University,Utah,UT,Private,4 Year,7628,5620,13248,5620,13248,1,59200,108000,60,25,West
Brown University,Rhode Island,RI,Private,4 Year,14670,55656,70326,55656,70326,1,68200,127600,45,43,Northeast
Bryant University,Rhode Island,RI,Private,4 Year,15702,43973,59675,43973,59675,2,60500,108600,37,8,Northeast
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754,5,66700,122900,40,40,Northeast
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950,7,51800,99300,53,9,North Central
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887,3,84100,151600,53,97,West
Calvin College,Michigan,MI,Private,4 Year,10200,34600,44800,34600,44800,13,50200,91100,54,23,North Central
Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322,11,43900,81500,54,14,South
Campbell University,North Carolina,NC,Private,4 Year,11430,32500,43930,32500,43930,16,46300,82400,56,8,South
Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400,24,37600,66800,50,7,South
Capitol Technology University,Maryland,MD,Private,4 Year,5708,25428,31136,25428,31136,2,67400,118400,63,88,South
Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440,29998,38438,29998,38438,20,47000,82500,51,2,North Central
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844,1,58800,109900,47,45,North Central
