dlc_id,name,taxon,sex,litter_size,age,weight
1512,HEME,ERUF,F,1,2.27,410
1589,TANGO,ERUF,F,1,4.9,1226
1591,AMBER,PCOQ,F,1,1.32,317
1591,AMBER,PCOQ,F,1,1.58,372
1591,AMBER,PCOQ,F,1,1.84,432
1591,AMBER,PCOQ,F,1,2.04,486
1591,AMBER,PCOQ,F,1,2.27,532
1591,AMBER,PCOQ,F,1,2.5,581
1591,AMBER,PCOQ,F,1,2.76,622
1591,AMBER,PCOQ,F,1,2.96,661
1591,AMBER,PCOQ,F,1,3.19,735
1591,AMBER,PCOQ,F,1,3.42,812
1591,AMBER,PCOQ,F,1,3.65,882
1591,AMBER,PCOQ,F,1,3.88,896
1591,AMBER,PCOQ,F,1,4.44,1090
1591,AMBER,PCOQ,F,1,4.8,1150
1591,AMBER,PCOQ,F,1,5.03,1226
1591,AMBER,PCOQ,F,1,5.49,1375
1592,LARKE,PCOQ,M,1,1.05,185
1592,LARKE,PCOQ,M,1,6.51,1235
1592,LARKE,PCOQ,M,1,9.3,1883
1592,LARKE,PCOQ,M,1,9.47,1690
1592,LARKE,PCOQ,M,1,9.67,1607
1593,ERME,PCOQ,F,1,1.28,228
1593,ERME,PCOQ,F,1,2.66,373
1593,ERME,PCOQ,F,1,2.89,423
1593,ERME,PCOQ,F,1,3.22,463
1593,ERME,PCOQ,F,1,3.81,495
1593,ERME,PCOQ,F,1,4.27,510
1593,ERME,PCOQ,F,1,4.54,534
1593,ERME,PCOQ,F,1,4.73,567
1593,ERME,PCOQ,F,1,5.19,638
2506,MELPOMENE,ERUF,F,1,4.37,1034
2506,MELPOMENE,ERUF,F,1,4.93,1175
2534,NYMPH,ERUF,F,1,1.18,348
2534,NYMPH,ERUF,F,1,1.41,395
2534,NYMPH,ERUF,F,1,1.61,430
2534,NYMPH,ERUF,F,1,1.87,485
2534,NYMPH,ERUF,F,1,2.1,520
2534,NYMPH,ERUF,F,1,2.33,510
2534,NYMPH,ERUF,F,1,2.56,675
2534,NYMPH,ERUF,F,1,2.79,636
2534,NYMPH,ERUF,F,1,3.02,705
2534,NYMPH,ERUF,F,1,3.25,750
2534,NYMPH,ERUF,F,1,3.48,817
2534,NYMPH,ERUF,F,1,3.72,837
2534,NYMPH,ERUF,F,1,3.91,900
2534,NYMPH,ERUF,F,1,4.18,999
2534,NYMPH,ERUF,F,1,4.41,1044
2534,NYMPH,ERUF,F,1,4.64,1070
2534,NYMPH,ERUF,F,1,5.1,1226
2534,NYMPH,ERUF,F,1,5.33,1090
2534,NYMPH,ERUF,F,1,6.02,1453
2534,NYMPH,ERUF,F,1,6.94,1520
2534,NYMPH,ERUF,F,1,8.09,1634
2534,NYMPH,ERUF,F,1,9.01,1861
2534,NYMPH,ERUF,F,1,10.39,1700
2534,NYMPH,ERUF,F,1,11.31,1816
2535,ROAN,ERUF,M,1,1.84,483
2535,ROAN,ERUF,M,1,2.99,818
2535,ROAN,ERUF,M,1,3.68,1041
2535,ROAN,ERUF,M,1,4.14,1136
2535,ROAN,ERUF,M,1,4.6,1166
2535,ROAN,ERUF,M,1,5.06,1212
2535,ROAN,ERUF,M,1,8.02,1634
2535,ROAN,ERUF,M,1,8.48,1680
2538,ALCOBA,ERUF,F,1,1.12,280
2538,ALCOBA,ERUF,F,1,1.38,340
2538,ALCOBA,ERUF,F,1,1.61,385
2538,ALCOBA,ERUF,F,1,1.84,435
2538,ALCOBA,ERUF,F,1,2.07,500
2538,ALCOBA,ERUF,F,1,2.3,545
2538,ALCOBA,ERUF,F,1,2.53,590
2538,ALCOBA,ERUF,F,1,2.76,636
2538,ALCOBA,ERUF,F,1,2.99,700
2538,ALCOBA,ERUF,F,1,3.22,772
2538,ALCOBA,ERUF,F,1,3.42,837
2538,ALCOBA,ERUF,F,1,3.68,975
2538,ALCOBA,ERUF,F,1,3.91,1044
2538,ALCOBA,ERUF,F,1,4.14,1090
2538,ALCOBA,ERUF,F,1,4.6,1135
2538,ALCOBA,ERUF,F,1,4.83,1317
2538,ALCOBA,ERUF,F,1,5.52,1544
2538,ALCOBA,ERUF,F,1,6.44,1907
2538,ALCOBA,ERUF,F,1,7.59,1816
2538,ALCOBA,ERUF,F,1,8.52,1998
2538,ALCOBA,ERUF,F,1,9.9,1952
2538,ALCOBA,ERUF,F,1,10.82,2043
2539,TISA,ERUF,F,1,1.74,373
2539,TISA,ERUF,F,1,4.64,1104
2539,TISA,ERUF,F,1,7.33,1634
2539,TISA,ERUF,F,1,7.79,1589
2557,VULCAN,ERUF,M,1,1.12,280
2557,VULCAN,ERUF,M,1,1.35,325
2557,VULCAN,ERUF,M,1,1.58,377
2557,VULCAN,ERUF,M,1,1.81,425
2557,VULCAN,ERUF,M,1,2.04,454
2557,VULCAN,ERUF,M,1,2.24,535
2557,VULCAN,ERUF,M,1,2.5,636
2557,VULCAN,ERUF,M,1,2.73,660
2557,VULCAN,ERUF,M,1,2.96,681
2557,VULCAN,ERUF,M,1,3.42,772
2557,VULCAN,ERUF,M,1,3.65,772
2557,VULCAN,ERUF,M,1,4.34,953
2557,VULCAN,ERUF,M,1,5.26,1044
2557,VULCAN,ERUF,M,1,6.41,1271
2557,VULCAN,ERUF,M,1,7.33,1520
2557,VULCAN,ERUF,M,1,8.71,1380
2557,VULCAN,ERUF,M,1,9.63,1544
2586,LYMPH,ERUF,F,1,1.18,320
2586,LYMPH,ERUF,F,1,1.41,432
2586,LYMPH,ERUF,F,1,1.87,497
2586,LYMPH,ERUF,F,1,2.1,537
2586,LYMPH,ERUF,F,1,2.33,582
2586,LYMPH,ERUF,F,1,2.56,620
2586,LYMPH,ERUF,F,1,2.79,681
2586,LYMPH,ERUF,F,1,3.02,726
2586,LYMPH,ERUF,F,1,3.25,772
2586,LYMPH,ERUF,F,1,3.48,863
2586,LYMPH,ERUF,F,1,3.68,953
2586,LYMPH,ERUF,F,1,3.95,999
2586,LYMPH,ERUF,F,1,4.18,1110
2586,LYMPH,ERUF,F,1,4.37,1135
2586,LYMPH,ERUF,F,1,4.64,1205
2586,LYMPH,ERUF,F,1,4.87,1271
2586,LYMPH,ERUF,F,1,5,1364
2586,LYMPH,ERUF,F,1,5.52,1480
2586,LYMPH,ERUF,F,1,5.98,1493
2586,LYMPH,ERUF,F,1,6.44,1738
2586,LYMPH,ERUF,F,1,6.64,1620
2586,LYMPH,ERUF,F,1,6.94,1680
2586,LYMPH,ERUF,F,1,7.36,1883
2586,LYMPH,ERUF,F,1,7.86,1883
2586,LYMPH,ERUF,F,1,8.25,1978
2586,LYMPH,ERUF,F,1,8.71,1952
2586,LYMPH,ERUF,F,1,9.17,2052
2586,LYMPH,ERUF,F,1,9.67,1916
2586,LYMPH,ERUF,F,1,10.13,1798
2586,LYMPH,ERUF,F,1,10.59,1991
2586,LYMPH,ERUF,F,1,11.05,2075
2586,LYMPH,ERUF,F,1,11.51,2034
2586,LYMPH,ERUF,F,1,11.97,2057
2586,LYMPH,ERUF,F,1,12.46,2211
2586,LYMPH,ERUF,F,1,12.89,2038
2586,LYMPH,ERUF,F,1,13.35,2057
2586,LYMPH,ERUF,F,1,13.81,2234
2589,HELEN,ERUF,F,1,1.41,238
2589,HELEN,ERUF,F,1,1.64,320
2589,HELEN,ERUF,F,1,2.1,397
2589,HELEN,ERUF,F,1,2.56,494
2589,HELEN,ERUF,F,1,3.02,580
2589,HELEN,ERUF,F,1,3.48,681
2589,HELEN,ERUF,F,1,3.95,776
2589,HELEN,ERUF,F,1,4.41,844
2589,HELEN,ERUF,F,1,5.03,1044
2589,HELEN,ERUF,F,1,5.56,1053
2589,HELEN,ERUF,F,1,6.02,1202
2589,HELEN,ERUF,F,1,6.38,1362
2589,HELEN,ERUF,F,1,6.48,1304
2589,HELEN,ERUF,F,1,6.87,1330
2589,HELEN,ERUF,F,1,6.97,1362
2589,HELEN,ERUF,F,1,7.4,1376
2589,HELEN,ERUF,F,1,7.89,1380
2589,HELEN,ERUF,F,1,8.28,1356
