taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
ERUF,1512,N,F,HEME,N,346,1972-03-08,3,NA,CB,Duke Lemur Center,1,120,1971-11-09,11,510,CALO,ERUF,1958-10-01,13.12,515,THURBER,ERUF,1958-10-01,13.12,1992-07-30,20.41,NA,NA,20.41,15,NA,410,1972-05-16,5,69,9.86,2.27,2,0.19,NA,NA,NA,7380,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,1589,N,F,TANGO,N,472,1975-03-10,3,NA,CB,Duke Lemur Center,1,120,1974-11-10,11,573,TANA,ERUF,1968-10-01,6.11,512,KINGMAN BREWSTER,ERUF,1963-03-01,11.7,1976-08-24,1.46,NA,NA,1.46,NA,NA,137,1975-04-01,4,22,3.14,0.72,0,0.06,34,4,8.5,511,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,1591,N,F,AMBER,N,118,1974-12-18,12,NA,CB,Duke Lemur Center,1,160,1974-07-11,7,590,CHARLOTTE,PCOQ,1960-07-01,14.04,591,REGINALD,PCOQ,1965-07-01,9.03,1976-11-05,1.88,NA,NA,1.88,NA,NA,206,1975-01-08,1,21,3,0.69,0,0.06,34,6,5.67,667,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,1592,N,M,LARKE,N,119,1976-01-26,1,NA,CB,Duke Lemur Center,1,160,1975-08-19,8,593,EDITH,PCOQ,1966-07-01,9.14,597,NIGEL,PCOQ,1972-02-10,3.52,1976-11-15,0.81,NA,NA,0.81,NA,NA,185,1976-02-27,2,32,4.57,1.05,1,0.09,67,22,3.05,262,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,1593,N,F,ERME,N,122,1977-02-06,2,NA,CB,Duke Lemur Center,1,160,1976-08-30,8,593,EDITH,PCOQ,1966-07-01,10.17,597,NIGEL,PCOQ,1972-02-10,4.56,1977-07-21,0.45,NA,NA,0.45,NA,NA,373,1977-04-28,4,81,11.57,2.66,2,0.22,145,42,3.45,84,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,2506,N,F,MELPOMENE,N,476,1975-03-25,3,NA,CB,Duke Lemur Center,1,120,1974-11-25,11,541,HERMIONE,ERUF,1968-03-28,6.67,515,THURBER,ERUF,1958-10-01,16.16,1987-01-01,11.78,NA,NA,11.78,4,NA,2583,1983-10-27,10,3138,448.29,103.17,103,8.6,1408,2988,0.47,1162,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,2534,N,F,NYMPH,N,510,1976-03-04,3,NA,CB,Duke Lemur Center,1,120,1975-11-05,11,532,CALYPSO,ERUF,1967-04-14,8.57,MULT2,NA,NA,NA,NA,1981-11-28,5.74,NA,NA,5.74,NA,NA,675,1976-05-21,5,78,11.14,2.56,2,0.21,165,7,23.57,2017,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,2535,N,M,ROAN,N,511,1976-03-04,3,NA,CB,Duke Lemur Center,1,120,1975-11-05,11,519,RED CHILD,ERUF,1966-03-04,9.68,1525,CORLEY,ERUF,1972-12-12,2.9,NA,NA,NA,15.92,15.92,5,NA,1680,1976-11-17,11,258,36.86,8.48,8,0.71,46,14,3.29,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,2538,N,F,ALCOBA,N,516,1976-03-19,3,NA,CB,Duke Lemur Center,1,120,1975-11-20,11,514,LISA DELLA,ERUF,1965-03-08,10.71,MULT2,NA,NA,NA,NA,1983-01-01,6.79,NA,NA,6.79,1,NA,636,1976-06-11,6,84,12,2.76,2,0.23,46,7,6.57,2395,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,2539,N,F,TISA,N,518,1976-03-25,3,NA,CB,Duke Lemur Center,1,120,1975-11-26,11,541,HERMIONE,ERUF,1968-03-28,7.67,515,THURBER,ERUF,1958-10-01,17.16,NA,NA,NA,7.68,7.68,1,NA,373,1976-05-17,5,53,7.57,1.74,1,0.15,219,34,6.44,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,2557,N,M,VULCAN,N,538,1976-04-24,4,NA,CB,Duke Lemur Center,1,120,1975-12-26,12,587,HEBE,ERUF,1971-04-13,4.71,MULT2,NA,NA,NA,NA,NA,NA,NA,7.6,7.6,1,NA,425,1976-06-18,6,55,7.86,1.81,1,0.15,48,7,6.86,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
