Country,Life_expectancy_at_birth,Health_expenditure,Education_Index,Infants_lacking_immunization_DTP_pct_of_one_year_olds,Infants_lacking_immunization_measles_pct_of_one_year_olds,Domestic_general_government_health_expenditure_pct_of_GDP,Population_using_at_least_basic_sanitation_services_pct,Unemployment_total_pct_of_labour_force,Income_inequality_Gini_coefficient,Old_age_dependency_ratio_old_age_65_and_older_per_100_people_ages_15_64,Efficiency,Slack
Afghanistan,63.8,179.214,0.406,27,36,5,42,1.6,28.2,4.7,1.14575965396638,9.2994659230551
Albania,78.2,760.919,0.761,1,4,41,98,15.2,12.2,18.9,1,0
Angola,59.9,181.482,0.487,33,55,44,49,7.3,32.4,4.5,1.22086539922778,13.2298374137442
Argentina,76.2,1398.375,0.834,3,10,74,94,8,14,17,1.05338849053354,4.06820297865603
Armenia,74.6,807.741,0.755,3,3,16,93,17.6,8.6,16,1.05070315185728,3.7824551285531
Australia,83,4148.358,0.919,2,5,68,100,5.7,8.3,23,1.0131963765499299,1.09529925364401
Austria,81.3,4645.784,0.865,5,5,73,100,6,7.4,28.3,1.03444034440344,2.79999999999998
Azerbaijan,72.5,1113.108,0.685,2,2,20,92,5,10.1,8.2,1.09755039681334,7.07240376896739
Bangladesh,71.8,82.176,0.496,1,3,18,47,4.4,27.6,7.8,1,0
Belarus,74,1056.069,0.839,1,2,61,98,5.8,6.5,20.9,1.07229912457211,5.35013521833621
Belgium,81.1,4221.4,0.893,1,4,84,99,7.8,8.8,28.4,1.03699136868064,2.99999999999996
Belize,74.2,473.909,0.696,2,5,66,88,7.9,21.3,7.1,1.03299899636857,2.44852553054801
Benin,60.9,78.39,0.472,16,32,21,16,2.4,36.4,6,1.16416878699541,9.99787912802031
Bhutan,70.8,313.04,0.437,1,3,74,68,2.3,27.4,8.7,1.05779055581991,4.09157135204967
Bosnia and Herzegovina,77,1083.392,0.708,10,32,71,95,25.4,12.9,21.5,1.03190398693434,2.45660699394406
Botswana,68.2,882.035,0.659,2,3,56,76,18,35.4,6.5,1.15354783949032,10.4719626532396
Brazil,75.2,1675.6,0.685,5,5,42,87,11.6,23.6,11.9,1.07569133009335,5.69198802302002
Bulgaria,74.7,1459.026,0.812,6,8,51,86,7.6,11.7,31.3,1.07636779154294,5.70467402825733
Burkina Faso,60.4,111.656,0.286,5,12,40,19,6.4,30.6,4.6,1.19527774526025,11.794775813719
Burundi,60.5,42.718,0.429,3,7,23,46,1.6,29.7,4.1,1.03137227905081,1.89802288257417
Cabo Verde,72.3,323.128,0.539,4,7,57,72,12.3,21.4,6.8,1.03771317960707,2.72666288559095
Cambodia,69,211.487,0.472,6,16,22,57,1.1,19.2,6.6,1.06567599514671,4.53164366512271
Cameroon,58.1,154.395,0.558,8,22,13,39,3.5,30.5,5,1.25244590369093,14.6671070044428
Canada,82.1,4524.345,0.89,5,11,73,99,7,7.9,24.3,1.02436053593179,1.99999999999996
Central African Republic,51.6,31.433,0.352,31,51,15,25,6.7,41.8,5.4,1.15715222030336,8.10905456765324
Chad,53.4,83.88,0.278,45,63,19,9,2.4,37.9,4.9,1.34499660659075,18.4228187919463
Chile,79.8,1898.135,0.8,1,7,58,100,6.7,15.6,15.8,1.01995883316955,1.59271488693034
