institution_name,city,state,type,division,region,expenditure_m,enrollment_th
Alabama A & M University,Normal,AL,Public,Division I,South,2.349603,5.219
University of Alabama at Birmingham,Birmingham,AL,Public,Division I,South,7.493466,9.805
University of Alabama in Huntsville,Huntsville,AL,Public,Division II,South,1.202522,5.642
Alabama State University,Montgomery,AL,Public,Division I,South,1.774831,2.959
The University of Alabama,Tuscaloosa,AL,Public,Division I,South,20.828822,29.956
Auburn University at Montgomery,Montgomery,AL,Public,Division II,South,1.047417,2.162
Auburn University,Auburn,AL,Public,Division I,South,21.625851,24.096
Huntingdon College,Montgomery,AL,Private,Division III,South,0.434043,0.849
Jacksonville State University,Jacksonville,AL,Public,Division I,South,3.462951,6.327
University of West Alabama,Livingston,AL,Public,Division II,South,1.437934,2.119
Miles College,Fairfield,AL,Private,Division II,South,1.134068,1.106
University of Montevallo,Montevallo,AL,Public,Division II,South,1.021767,1.935
University of North Alabama,Florence,AL,Public,Division I,South,2.92458,4.663
Samford University,Birmingham,AL,Private,Division I,South,3.922192,3.777
University of South Alabama,Mobile,AL,Public,Division I,South,4.361075,7.487
Spring Hill College,Mobile,AL,Private,Division II,South,0.975126,0.823
Troy University,Troy,AL,Public,Division I,South,3.425877,6.977
Tuskegee University,Tuskegee,AL,Private,Division II,South,1.540291,2.277
University of Alaska Anchorage,Anchorage,AK,Public,Division II,West,2.003478,3.687
University of Alaska Fairbanks,Fairbanks,AK,Public,Division II,West,1.190832,2.276
Arizona State University Campus Immersion,Tempe,AZ,Public,Division I,West,13.537159,59.551
University of Arizona,Tucson,AZ,Public,Division I,West,22.002975,34.124
Northern Arizona University,Flagstaff,AZ,Public,Division I,West,3.183655,20.092
University of Arkansas at Little Rock,Little Rock,AR,Public,Division I,South,4.809341,2.894
Lyon College,Batesville,AR,Private,Division III,South,0.331811,0.557
University of Arkansas,Fayetteville,AR,Public,Division I,South,20.927952,24.811
University of Arkansas at Pine Bluff,Pine Bluff,AR,Public,Division I,South,1.558179,1.673
Arkansas State University,Jonesboro,AR,Public,Division I,South,4.373417,5.279
Arkansas Tech University,Russellville,AR,Public,Division II,South,1.002146,4.912
University of Arkansas at Monticello,Monticello,AR,Public,Division II,South,0.749252,1.581
University of Central Arkansas,Conway,AR,Public,Division I,South,2.690775,6.474
Harding University,Searcy,AR,Private,Division II,South,1.310332,3.134
Henderson State University,Arkadelphia,AR,Public,Division II,South,0.94478,1.32
Hendrix College,Conway,AR,Private,Division III,South,0.31536,1.089
Ouachita Baptist University,Arkadelphia,AR,Private,Division II,South,1.132207,1.585
University of the Ozarks,Clarksville,AR,Private,Division III,South,0.304338,0.743
Southern Arkansas University Main Campus,Magnolia,AR,Public,Division II,South,0.806344,2.702
University of Arkansas-Fort Smith,Fort Smith,AR,Public,Division II,South,1.332781,3.235
Azusa Pacific University,Azusa,CA,Private,Division II,West,1.342482,2.627
Biola University,La Mirada,CA,Private,Division II,West,1.725777,3.126
California Baptist University,Riverside,CA,Private,Division I,West,6.567894,7.17
California Institute of Technology,Pasadena,CA,Private,Division III,West,0.37398,1.023
California Lutheran University,Thousand Oaks,CA,Private,Division III,West,0.500901,2.331
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,Public,Division I,West,4.417764,20.591
California State University-Bakersfield,Bakersfield,CA,Public,Division I,West,3.979356,6.789
California State University-Stanislaus,Turlock,CA,Public,Division II,West,1.243907,6.907
California State University-San Bernardino,San Bernardino,CA,Public,Division II,West,1.621212,12.935
California State Polytechnic University-Pomona,Pomona,CA,Public,Division II,West,1.590425,20.987
California State University-Chico,Chico,CA,Public,Division II,West,1.288281,11.807
California State University-Dominguez Hills,Carson,CA,Public,Division II,West,0.908979,9.528
California State University-Fresno,Fresno,CA,Public,Division I,West,7.266895,17.756
California State University-Fullerton,Fullerton,CA,Public,Division I,West,3.469475,29.67
California State University-East Bay,Hayward,CA,Public,Division II,West,1.572739,7.961
California State University-Long Beach,Long Beach,CA,Public,Division I,West,4.836118,28.896
