track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_min
72XViAl7vmQCa8liuVZjtg,Losing Myself,Cesqeaux,43,2SsUfQzJYHbnnPYlcvGWEM,Losing Myself,2019-04-12,Trap Mojito,37i9dQZF1DX1OIMC8iDi74,rap,trap,0.474,0.708,1,-4.494,Major,0.168,0.0496,4.43e-5,0.0986,0.328,149.857,156800,2.6133333333333333
4qgdySrAI50O6G6QxUA3qY,Tengo Niveles,J Montez,50,5VWEO3jiIriAePrUazJ7az,Tengo Niveles,2020-01-01,El Ritmo,37i9dQZF1DWVOLXBOylBUZ,latin,reggaeton,0.786,0.892,6,-3.442,Minor,0.215,0.002,0,0.0513,0.401,179.904,152009,2.5334833333333333
52Jf8rOBta15wNrkOg0tg0,tbh ily (Kidswaste Remix),Chet Porter,0,3FusjpecyZDxS95N0jvV82,tbh ily (Kidswaste Remix),2016-04-14,Indie Poptimism,2QiMewRbSavfZ9MSAYz2h6,pop,indie poptimism,0.653,0.684,10,-9.703,Major,0.0432,0.496,0.794,0.366,0.354,105.049,269973,4.49955
0QM6nU9Wr56ph2s8Dwl7uo,Swimming In Your Feelings,HAVEN,45,2g3ezbmKmkAGTY99Gy6VQL,Swimming In Your Feelings,2019-11-01,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.741,0.699,9,-6.718,Major,0.0746,0.305,0,0.3,0.728,147.127,161890,2.698166666666667
6o5UNB9tYzUiTPwizwjDov,Hot Fun in the Summertime,Sly & The Family Stone,0,7saBgtVef7I2AyHzgPZPgw,Anthology,1973,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.609,0.647,0,-13.003,Major,0.063,0.365,9.18e-6,0.083,0.692,145.249,156827,2.613783333333333
6xPqAPvg2wCGyZVh0eT59I,Lucky Chances (feat. KSHMR),Bali Bandits,46,1xJZxr2Dre6QadkiI0Ecod,Lucky Chances (feat. KSHMR),2019-01-04,Epic Bass Drops | Best House Mixes,4IS7o1utOzhimFEFnj9gmu,edm,progressive electro house,0.732,0.891,3,-4.066,Minor,0.0358,0.0548,6.67e-4,0.098,0.736,123.998,160645,2.6774166666666668
62YL4H1dOpC6702x4i7VQS,Carita de buena,Efecto Pasillo,41,2Xbsa2VFb5O0slBpJoYlqy,Carita de buena,2017-05-26,Latin Pop Songs,5uOMV7g6vp8WxoqXfkzKaw,latin,latin pop,0.644,0.945,7,-5.158,Major,0.0415,0.019,2.63e-6,0.14,0.832,101.994,217741,3.629016666666667
30uQMh0OHHIg74CXSfjAMX,God's Will,DJ Bode,6,7rh0vsp3OqkogipeTYAXQs,God's Will,2019-06-23,Neo-Soul,1eqVgsNjaX6mxDPoefhocT,r&b,neo soul,0.793,0.843,0,-3.556,Minor,0.108,0.704,0.0464,0.278,0.918,102.007,251507,4.191783333333333
6QFIhhGf2T54UzNlVb2eee,No Me Importa Nada,Byte,24,52pSkcbB6gvEtcX9v0TEaS,Byte,2005-01-01,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.52,0.588,4,-5.718,Major,0.0499,0.0811,2.64e-4,0.128,0.539,170.019,222960,3.716
2hGEmiZnMqj683DUd11mKS,School of Hard Knocks,Biff Byford,40,169YkcZfnyK0HWLvBBknCe,School of Hard Knocks,2019-12-13,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.473,0.911,9,-3.843,Minor,0.0748,1.05e-4,0.145,0.0704,0.386,131.995,261000,4.35
