rank,city,per_capita_expend,playgrounds
1,Minneapolis,319,4.1
2,"Washington, D.C.",307,1.9
3,St. Paul,219,4
4,"Arlington, Virginia",301,4.4
5,Cincinnati,190,4.9
6,Portland,250,2.1
7,Irvine,215,4.3
8,San Francisco,399,2.9
9,Boston,162,4
10,Chicago,179,3.6
11,New York,232,2.1
12,Madison,134,7
13,St. Louis,199,2.9
14,Seattle,320,2.1
15,Pittsburgh,142,3.9
15,Philadelphia,138,2.8
17,Plano,226,2.3
18,San Diego,153,2.4
19,St. Petersburg,148,3.4
20,New Orleans,165,4.8
21,Boise,172,3.4
22,Denver,130,3.6
23,Long Beach,180,1.4
24,Aurora,149,2.2
25,Lincoln,108,4.6
26,Virginia Beach,185,4.1
27,Henderson,141,2.9
28,Milwaukee,112,3.9
29,Cleveland,137,3.7
30,Sacramento,122,4.2
31,Raleigh,157,2.2
32,Kansas City,132,4.4
33,Fremont,114,2.2
34,Des Moines,94,2.6
35,Albuquerque,62,3.2
36,San Jose,108,3.1
37,Austin,147,1.6
38,Omaha,79,4.1
39,Anchorage,93,2.9
40,Atlanta,151,2.8
41,Honolulu,77,1.6
42,Las Vegas,84,3.1
43,Buffalo,86,2.3
44,Scottsdale,109,1.5
45,Anaheim,115,1.6
46,Chesapeake,100,3.6
47,Jersey City,32,1.2
48,Norfolk,84,6.6
49,Columbus,94,2.9
49,Los Angeles,132,1.1
51,Oakland,65,1.8
52,Orlando,119,2
53,Colorado Springs,80,3
54,Dallas,108,1.7
55,Tulsa,93,2.4
56,Tampa,48,2.3
56,Phoenix,89,1.7
58,Baltimore,73,3.3
59,"Arlington, Texas",102,1.5
60,North Las Vegas,52,1.8
60,Riverside,78,1.5
62,Lexington,79,3.1
63,Bakersfield,86,3
64,Miami,48,1.3
65,Chandler,76,3.4
66,El Paso,56,4.1
66,Greensboro,67,3.6
68,Reno,52,2
69,Newark,53,1
70,Chula Vista,43,3.5
70,Nashville,83,2.1
72,Durham,76,2
73,Detroit,80,2.7
74,Glendale,43,3.9
75,San Antonio,89,1.8
76,Corpus Christi,58,4.3
77,Toledo,40,3.9
78,Houston,82,1.9
79,Jacksonville,66,3.5
80,Wichita,67,2.2
81,Louisville,69,3.3
82,Winston-Salem,81,1.9
83,Garland,57,1.4
84,Tucson,53,2.7
85,Santa Ana,53,1.2
86,Laredo,59,2.6
87,Stockton,15,2.3
88,Memphis,76,1.8
89,Irving,72,3
90,Hialeah,33,1
91,Baton Rouge,44,2.6
92,Fresno,42,2.6
93,Lubbock,35,2.2
94,Fort Worth,56,2.3
95,Charlotte/Mecklenburg County,56,2.1
96,Mesa,65,1.3
97,Oklahoma City,57,1.6
