Student.ID,Grade,Gender,Race,Ethnicity.Hispanic.Y.N,ELL,Sped,Homeless,Free.Lunch,Migrant,Current.GPA,Number.of.Classes.Enrolled.in.for.the.school.year,Tracking.Pathway
3955,12,F,C,Hispanic,Y,Y,N,Y,N,3.455,7,NA
7008,11,M,C,Hispanic,Y,Y,N,Y,N,1.688,7,NA
7791,11,M,C,Hispanic,Y,N,N,Y,N,2.233,7,NA
5954,10,M,C,Hispanic,Y,Y,N,Y,N,0.905,7,NA
2881,11,M,C,Hispanic,N,N,N,Y,N,3.367,7,NA
8963,12,M,C,Hispanic,N,Y,N,Y,N,2.988,7,NA
9478,12,M,C,Hispanic,N,N,N,Y,N,1.452,7,NA
8268,12,M,C,Hispanic,N,N,N,Y,N,2.957,7,y
6188,12,M,C,Hispanic,Y,N,N,Y,N,1.696,7,NA
9846,12,F,C,Hispanic,N,N,Y,Y,N,2.955,7,NA
3405,12,M,C,Hispanic,Y,Y,N,Y,N,3.071,7,NA
2230,12,M,C,Hispanic,N,N,N,Y,N,1.42,7,NA
7860,12,M,C,Hispanic,N,N,N,Y,N,1.932,7,NA
5727,12,M,C,Hispanic,N,Y,N,Y,N,1.614,7,NA
5026,12,F,C,Hispanic,Y,Y,N,Y,N,2.935,7,NA
5273,12,M,C,Non Hispanic,N,N,N,Y,N,3.196,7,NA
2886,12,M,C,Hispanic,Y,Y,N,Y,N,3.25,7,NA
8460,12,M,C,Hispanic,N,N,N,Y,N,1.523,7,NA
1331,12,M,C,Hispanic,N,Y,N,Y,N,2.457,7,NA
7778,12,M,C,Hispanic,N,N,N,Y,N,3.409,7,NA
2272,12,F,C,Hispanic,N,N,N,Y,N,3,7,NA
8541,11,M,C,Hispanic,N,Y,N,Y,N,2.5,7,NA
6065,12,M,C,Hispanic,Y,Y,N,Y,N,1.636,7,NA
6385,11,M,C,Hispanic,Y,Y,N,Y,N,3.077,7,NA
2063,11,M,C,Hispanic,N,Y,N,Y,N,1.7,7,NA
3851,12,M,C,Hispanic,N,N,N,Y,N,0.87,7,NA
8596,12,M,C,Hispanic,Y,Y,N,Y,N,2.295,7,NA
4235,11,M,C,Hispanic,N,Y,N,Y,N,1.667,7,NA
7555,11,M,C,Hispanic,N,Y,N,Y,N,1.867,7,y
4262,11,M,C,Hispanic,Y,Y,N,Y,N,2.867,7,NA
9138,12,F,C,Hispanic,Y,Y,N,Y,N,3.295,7,NA
7498,12,M,C,Hispanic,N,Y,N,Y,N,3.205,7,NA
9886,12,M,C,Hispanic,Y,Y,N,Y,N,1.467,7,NA
8564,12,M,C,Hispanic,N,N,N,Y,N,3.86,7,NA
9603,11,M,C,Hispanic,N,N,N,Y,N,2,7,NA
535,12,M,C,Hispanic,Y,Y,N,Y,N,1.295,7,NA
3661,12,M,C,Hispanic,N,Y,N,Y,N,2.864,7,NA
6354,10,M,C,Hispanic,N,Y,N,Y,N,2.25,7,NA
799,11,F,C,Hispanic,N,N,N,Y,N,2.094,7,NA
4805,12,F,C,Hispanic,Y,Y,N,Y,N,2.761,7,NA
1219,12,M,C,Hispanic,N,N,N,Y,N,3.091,7,NA
6967,12,M,C,Hispanic,N,N,N,Y,N,2.909,7,NA
7571,12,M,C,Hispanic,Y,Y,N,Y,N,2.8,7,NA
2166,12,F,C,Hispanic,Y,Y,N,Y,N,1.273,7,NA
9122,12,M,C,Hispanic,N,N,N,Y,N,1.432,7,NA
8187,12,F,C,Hispanic,N,N,N,Y,N,2.273,7,y
5899,12,F,C,Hispanic,Y,N,N,Y,N,1.645,7,NA
9623,11,M,C,Hispanic,N,N,N,Y,N,2.063,7,y
3995,12,M,C,Hispanic,N,N,N,Y,N,1.191,7,NA
7490,12,F,C,Hispanic,N,N,N,Y,N,3.151,7,NA
2727,11,M,C,Hispanic,N,Y,N,Y,N,1.875,7,NA
712,10,M,C,Hispanic,N,Y,N,Y,N,1.875,7,NA
6812,12,F,C,Hispanic,Y,N,N,Y,N,1.534,7,NA
4823,12,M,C,Hispanic,Y,Y,N,Y,N,2.6,7,NA
5017,12,F,C,Hispanic,N,N,N,Y,N,3.348,7,NA
3914,12,F,C,Hispanic,N,Y,N,Y,N,3.205,7,NA
6925,12,M,C,Hispanic,N,Y,N,Y,N,2.565,7,NA
9689,11,M,C,Hispanic,N,Y,N,Y,N,2.433,7,NA
9954,11,M,C,Hispanic,Y,Y,N,Y,N,2.033,7,NA
4754,12,M,C,Hispanic,N,N,N,Y,N,1.767,7,y
2039,12,M,C,Hispanic,Y,N,N,Y,N,1.639,7,NA
1431,11,F,C,Hispanic,N,N,N,Y,N,1.467,7,NA
9189,11,F,C,Hispanic,N,Y,N,Y,N,2.2,7,NA
4342,12,M,C,Hispanic,Y,N,N,Y,N,1.644,7,y
5433,11,M,C,Hispanic,N,N,N,Y,N,3.765,7,NA
1379,11,M,C,Hispanic,Y,Y,N,Y,N,1.097,7,NA
6104,12,F,C,Hispanic,N,Y,N,Y,N,2.318,7,NA
9094,11,M,C,Hispanic,Y,Y,N,Y,N,1.871,7,y
6767,12,M,C,Hispanic,Y,Y,N,Y,N,1.674,7,NA
